VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee
2,2025-01-01 11:19:37,2025-01-01 11:25:09,N,1.0,75,236,1.0,0.77,7.2,0.0,0.5,0.0,0.0,,1.0,11.45,2.0,1.0,2.75,0.0
2,2025-01-01 11:03:20,2025-01-01 12:14:58,N,1.0,260,82,1.0,16.45,89.8,0.0,0.5,0.0,0.0,,1.0,91.3,2.0,1.0,0.0,0.0
1,2025-01-01 11:08:55,2025-01-01 11:13:46,N,1.0,43,236,0.0,1.2,7.9,2.75,1.5,0.0,0.0,,1.0,12.15,2.0,1.0,2.75,0.0
1,2025-01-01 11:29:28,2025-01-01 11:29:53,N,1.0,41,41,0.0,0.1,3.0,0.0,1.5,0.0,0.0,,1.0,4.5,2.0,1.0,0.0,0.0
2,2025-01-01 11:29:39,2025-01-01 11:44:48,N,1.0,97,61,1.0,2.94,17.7,0.0,0.5,3.84,0.0,,1.0,23.04,1.0,1.0,0.0,0.0
2,2025-01-01 11:25:39,2025-01-01 11:36:24,N,1.0,74,141,1.0,2.99,14.2,0.0,0.5,3.69,0.0,,1.0,22.14,1.0,1.0,2.75,0.0
2,2025-01-01 11:06:25,2025-01-01 11:07:13,N,1.0,226,226,1.0,0.21,3.7,0.0,0.5,1.04,0.0,,1.0,6.24,1.0,1.0,0.0,0.0
2,2025-01-01 11:09:47,2025-01-01 13:08:43,N,1.0,226,129,1.0,3.67,89.8,0.0,0.5,0.0,0.0,,1.0,91.3,2.0,1.0,0.0,0.0
2,2025-01-01 11:26:52,2025-01-01 11:40:21,N,1.0,74,262,1.0,2.43,15.6,0.0,0.5,3.97,0.0,,1.0,23.82,1.0,1.0,2.75,0.0
2,2025-01-01 06:27:08,2025-01-01 06:37:24,N,1.0,74,239,1.0,3.43,15.6,0.0,0.5,5.96,0.0,,1.0,25.81,1.0,1.0,2.75,0.0
2,2025-01-01 10:45:07,2025-01-01 10:51:19,N,1.0,65,66,1.0,1.12,8.6,0.0,0.5,0.0,0.0,,1.0,10.1,2.0,1.0,0.0,0.0
2,2025-01-01 11:03:29,2025-01-01 11:03:33,N,5.0,93,93,4.0,0.0,24.0,0.0,0.0,0.0,0.0,,1.0,25.0,1.0,2.0,0.0,0.0
2,2025-01-01 11:05:10,2025-01-01 11:06:36,N,1.0,75,263,1.0,0.65,5.1,0.0,0.5,2.8,0.0,,1.0,12.15,1.0,1.0,2.75,0.0
2,2025-01-01 11:49:54,2025-01-01 11:52:18,N,1.0,41,42,1.0,0.62,5.8,0.0,0.5,1.82,0.0,,1.0,9.12,1.0,1.0,0.0,0.0
1,2025-01-01 11:26:29,2025-01-01 11:34:39,N,1.0,74,75,1.0,1.7,10.7,0.0,1.5,0.0,0.0,,1.0,12.2,2.0,1.0,0.0,0.0
2,2025-01-01 11:45:17,2025-01-01 12:06:40,N,1.0,7,132,1.0,13.84,52.7,0.0,0.5,10.84,0.0,,1.0,65.04,1.0,1.0,0.0,0.0
2,2025-01-01 11:41:22,2025-01-01 11:52:17,N,1.0,66,45,1.0,2.51,14.2,0.0,0.5,0.0,0.0,,1.0,18.45,2.0,1.0,2.75,0.0
2,2025-01-01 11:43:03,2025-01-01 11:50:34,N,1.0,82,82,1.0,1.13,8.6,0.0,0.5,0.0,0.0,,1.0,10.1,2.0,1.0,0.0,0.0
1,2025-01-01 11:37:08,2025-01-01 11:40:57,N,1.0,74,41,3.0,0.9,6.5,0.0,1.5,0.0,0.0,,1.0,8.0,2.0,1.0,0.0,0.0
1,2025-01-01 11:50:50,2025-01-01 11:57:40,N,1.0,95,95,1.0,1.0,8.6,0.0,1.5,0.0,0.0,,1.0,10.1,2.0,1.0,0.0,0.0
2,2025-01-01 11:19:32,2025-01-01 11:41:45,N,5.0,65,132,4.0,17.29,85.0,0.0,0.0,17.2,0.0,,1.0,103.2,1.0,2.0,0.0,0.0
2,2025-01-01 11:47:33,2025-01-01 12:05:12,N,1.0,97,255,2.0,4.15,21.9,0.0,0.5,4.68,0.0,,1.0,28.08,1.0,1.0,0.0,0.0
2,2025-01-01 12:00:29,2025-01-01 12:04:02,N,5.0,82,82,1.0,0.59,15.0,0.0,0.0,4.0,0.0,,1.0,20.0,1.0,2.0,0.0,0.0
2,2025-01-01 11:34:31,2025-01-01 11:40:51,N,1.0,74,75,1.0,1.57,9.3,0.0,0.5,0.0,0.0,,1.0,10.8,2.0,1.0,0.0,0.0
2,2025-01-01 11:03:10,2025-01-01 11:23:26,N,1.0,75,158,1.0,6.23,29.6,0.0,0.5,0.0,0.0,,1.0,33.85,2.0,1.0,2.75,0.0
2,2025-01-01 11:51:28,2025-01-01 12:23:32,N,5.0,65,1,1.0,15.27,110.0,0.0,0.0,24.88,13.38,,1.0,149.26,1.0,2.0,0.0,0.0
2,2025-01-01 11:54:43,2025-01-01 12:01:24,N,1.0,92,73,1.0,1.08,8.6,0.0,0.5,2.02,0.0,,1.0,12.12,1.0,1.0,0.0,0.0
2,2025-01-01 11:26:12,2025-01-01 11:34:36,N,1.0,74,236,1.0,1.73,10.7,0.0,0.5,1.1,0.0,,1.0,16.05,1.0,1.0,2.75,0.0
2,2025-01-01 11:26:35,2025-01-01 11:31:02,N,1.0,41,238,1.0,0.92,7.2,0.0,0.5,1.74,0.0,,1.0,10.44,1.0,1.0,0.0,0.0
2,2025-01-01 11:43:41,2025-01-01 11:53:22,N,1.0,43,142,2.0,2.32,13.5,0.0,0.5,0.0,0.0,,1.0,17.75,2.0,1.0,2.75,0.0
2,2025-01-01 11:00:18,2025-01-01 11:17:42,N,1.0,82,138,1.0,4.57,24.0,5.0,0.5,6.1,0.0,,1.0,36.6,1.0,1.0,0.0,0.0
2,2025-01-01 12:00:11,2025-01-01 12:08:50,N,1.0,82,138,1.0,3.66,17.0,5.0,0.5,1.0,0.0,,1.0,24.5,1.0,1.0,0.0,0.0
2,2025-01-01 10:26:38,2025-01-01 10:32:38,N,1.0,74,236,2.0,1.58,9.3,0.0,0.5,2.71,0.0,,1.0,16.26,1.0,1.0,2.75,0.0
2,2025-01-01 10:56:16,2025-01-01 11:07:01,N,1.0,74,262,2.0,2.65,14.2,0.0,0.5,0.0,0.0,,1.0,18.45,1.0,1.0,2.75,0.0
2,2025-01-01 11:27:45,2025-01-01 11:54:34,N,2.0,41,132,1.0,17.99,70.0,0.0,0.5,15.69,6.94,,1.0,94.13,1.0,1.0,0.0,0.0
2,2025-01-01 11:06:13,2025-01-01 11:14:40,N,1.0,74,151,1.0,2.26,12.1,0.0,0.5,4.08,0.0,,1.0,17.68,1.0,1.0,0.0,0.0
