,VendorID,PUDatetime,DODatetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,taxi_type,ehail_fee,trip_type,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
25509,,2023-04-01 00:00:05,2023-04-01 00:30:05,,,,,158,163,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:54:58,2023-03-31 23:55:05,3.1,1800.0,63.5,0.0,1.9,5.63,0.0,0.0,44.28,N,N, ,N,N
11847,,2023-04-01 00:00:05,2023-04-01 00:23:43,,,,,249,236,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:35,2023-03-31 23:59:56,4.89,1418.0,30.6,0.0,0.92,2.72,0.0,7.39,24.95,N,N, ,N,N
36015,,2023-04-01 00:00:05,2023-04-01 00:39:21,,,,,170,91,,,,,,,,,2.75,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:52:15,,14.42,2356.0,55.3,4.8,1.8,5.33,0.0,0.0,41.03,N,N,N,N,N
1994,,2023-04-01 00:00:05,2023-04-01 00:14:53,,,,,239,141,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:34,2023-03-31 23:59:26,2.6,888.0,15.33,0.0,0.46,1.36,0.0,0.0,15.78,N,N, ,N,N
8405,,2023-04-01 00:00:05,2023-04-01 00:45:44,,,,,132,239,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:49:03,2023-03-31 23:59:22,20.8,2739.0,58.1,6.55,2.01,5.96,2.5,0.0,53.66,N,N, ,N,N
34951,,2023-04-01 00:00:05,2023-04-01 00:21:40,,,,,161,166,,,,,,,,,2.75,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:56:29,,4.434,1295.0,19.7,0.0,0.59,1.75,0.0,0.0,17.95,N,N,N,N,N
20375,,2023-04-01 00:00:05,2023-04-01 00:05:53,,,,,188,72,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:57:39,2023-03-31 23:59:37,1.3,348.0,7.9,0.0,0.24,0.7,0.0,0.0,10.94,N,N, ,N,N
11093,,2023-04-01 00:00:05,2023-04-01 00:12:04,,,,,243,78,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:58:23,2023-04-01 00:00:01,3.09,719.0,15.45,0.0,0.46,1.37,0.0,0.0,15.11,N,N, ,N,N
11254,,2023-04-01 00:00:05,2023-04-01 00:08:27,,,,,61,72,,,,,,,,,0.0,,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:57:17,,1.595,502.0,11.48,0.0,0.34,1.02,0.0,0.0,6.8,N,N,N,N,N
37510,,2023-04-01 00:00:05,2023-04-01 00:16:28,,,,,162,166,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:00,2023-03-31 23:58:09,4.7,983.0,27.02,0.0,0.81,2.4,0.0,10.0,15.42,N,N, ,N,N
29493,,2023-04-01 00:00:05,2023-04-01 00:15:10,,,,,79,90,,,,,,,,,2.75,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:57:17,2023-03-31 23:59:33,1.87,905.0,10.89,0.0,0.33,0.97,0.0,0.0,16.38,N,N, ,N,N
36148,,2023-04-01 00:00:05,2023-04-01 00:14:20,,,,,127,153,,,,,,,,,0.0,,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:54:54,2023-03-31 23:58:05,1.19,855.0,12.53,0.0,0.38,1.11,0.0,0.0,9.6,N,N, ,N,N
