,VendorID,PUDatetime,DODatetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,type,airport_fee,Airport_fee
1873,2,2023-01-01 00:03:25,2023-01-01 00:12:51,N,1.0,234,148,1.0,1.58,11.4,1.0,0.5,2.46,0.0,,1.0,18.86,1.0,,2.5,yellow_taxi,0.0,
2611,2,2023-01-01 00:03:25,2023-01-01 00:25:52,N,1.0,48,114,1.0,3.36,21.9,1.0,0.5,4.04,0.0,,1.0,30.94,1.0,,2.5,yellow_taxi,0.0,
2371,2,2023-01-01 00:03:26,2023-01-01 00:09:42,N,1.0,170,107,1.0,1.15,8.6,1.0,0.5,2.72,0.0,,1.0,16.32,1.0,,2.5,yellow_taxi,0.0,
4028,2,2023-01-01 00:03:28,2023-01-01 00:14:43,N,1.0,79,229,6.0,2.58,14.2,1.0,0.5,3.84,0.0,,1.0,23.04,1.0,,2.5,yellow_taxi,0.0,
374,2,2023-01-01 00:03:28,2023-01-01 00:19:42,N,1.0,249,233,1.0,2.51,16.3,1.0,0.5,6.39,0.0,,1.0,27.69,1.0,,2.5,yellow_taxi,0.0,
3541,1,2023-01-01 00:03:33,2023-01-01 00:04:16,N,1.0,263,263,1.0,0.1,3.0,3.5,0.5,0.0,0.0,,1.0,8.0,3.0,,2.5,yellow_taxi,0.0,
3419,2,2023-01-01 00:03:34,2023-01-01 00:08:13,N,1.0,170,137,1.0,0.8,6.5,1.0,0.5,0.0,0.0,,1.0,11.5,2.0,,2.5,yellow_taxi,0.0,
18,1,2023-01-01 00:03:36,2023-01-01 00:09:36,N,1.0,237,239,3.0,1.2,8.6,3.5,0.5,0.0,0.0,,1.0,13.6,2.0,,2.5,yellow_taxi,0.0,
4365,2,2023-01-01 00:03:37,2023-01-01 00:19:24,N,1.0,164,236,2.0,3.18,18.4,1.0,0.5,4.68,0.0,,1.0,28.08,1.0,,2.5,yellow_taxi,0.0,
355,2,2023-01-01 00:03:40,2023-01-01 00:10:05,N,1.0,238,151,1.0,1.35,9.3,1.0,0.5,4.29,0.0,,1.0,18.59,1.0,,2.5,yellow_taxi,0.0,
3647,2,2023-01-01 00:03:44,2023-01-01 00:23:55,N,1.0,137,238,3.0,6.27,29.6,1.0,0.5,6.92,0.0,,1.0,41.52,1.0,,2.5,yellow_taxi,0.0,
3,1,2023-01-01 00:03:48,2023-01-01 00:13:25,N,1.0,138,7,0.0,1.9,12.1,7.25,0.5,0.0,0.0,,1.0,20.85,1.0,,0.0,yellow_taxi,1.25,
1536,1,2023-01-01 00:03:48,2023-01-01 00:17:51,N,1.0,137,25,1.0,6.0,25.4,3.5,0.5,5.47,0.0,,1.0,35.87,1.0,,2.5,yellow_taxi,0.0,
2603,1,2023-01-01 00:03:52,2023-01-01 00:11:32,N,1.0,114,107,1.0,1.0,7.9,3.5,0.5,2.6,0.0,,1.0,15.5,1.0,,2.5,yellow_taxi,0.0,
36,2,2023-01-01 00:03:52,2023-01-01 00:18:27,N,1.0,144,140,1.0,5.01,23.3,1.0,0.5,5.66,0.0,,1.0,33.96,1.0,,2.5,yellow_taxi,0.0,
2528,2,2023-01-01 00:03:52,2023-01-01 00:26:20,N,1.0,132,255,3.0,15.75,58.3,1.0,0.5,10.0,0.0,,1.0,72.05,1.0,,0.0,yellow_taxi,1.25,
2680,2,2023-01-01 00:03:53,2023-01-01 00:37:00,N,1.0,70,48,1.0,11.31,50.6,1.0,0.5,0.0,6.55,,1.0,62.15,1.0,,2.5,yellow_taxi,0.0,
762,2,2023-01-01 00:03:54,2023-01-01 00:17:49,N,1.0,43,186,1.0,2.28,14.9,1.0,0.5,3.98,0.0,,1.0,23.88,1.0,,2.5,yellow_taxi,0.0,
1318,2,2023-01-01 00:03:57,2023-01-01 00:12:53,N,1.0,161,107,1.0,1.84,11.4,1.0,0.5,0.0,0.0,,1.0,16.4,2.0,,2.5,yellow_taxi,0.0,
914,2,2023-01-01 00:03:58,2023-01-01 00:15:33,N,1.0,88,140,1.0,6.52,26.1,1.0,0.5,7.78,0.0,,1.0,38.88,1.0,,2.5,yellow_taxi,0.0,
1409,1,2023-01-01 00:03:59,2023-01-01 00:26:48,N,1.0,237,186,1.0,2.1,18.4,3.5,0.5,4.7,0.0,,1.0,28.1,1.0,,2.5,yellow_taxi,0.0,
4573,2,2023-01-01 00:04:04,2023-01-01 00:18:03,N,1.0,70,263,1.0,7.99,22.5,0.5,0.5,3.0,6.55,,0.3,35.85,1.0,,2.5,yellow_taxi,0.0,
1199,2,2023-01-01 00:04:04,2023-01-01 00:36:33,N,1.0,138,165,1.0,16.31,63.2,6.0,0.5,0.0,0.0,,1.0,71.95,2.0,,0.0,yellow_taxi,1.25,
4203,2,2023-01-01 00:04:05,2023-01-01 00:18:05,N,1.0,234,186,2.0,1.16,13.5,1.0,0.5,3.7,0.0,,1.0,22.2,1.0,,2.5,yellow_taxi,0.0,
115,1,2023-01-01 00:04:08,2023-01-01 00:10:54,N,1.0,264,264,3.0,0.7,7.2,3.5,0.5,0.0,0.0,,1.0,12.2,2.0,,2.5,yellow_taxi,0.0,
4605,2,2023-01-01 00:04:11,2023-01-01 00:07:44,N,1.0,141,140,1.0,0.75,-5.8,-1.0,-0.5,0.0,0.0,,-1.0,-10.8,3.0,,-2.5,yellow_taxi,0.0,
4606,2,2023-01-01 00:04:11,2023-01-01 00:07:44,N,1.0,141,141,1.0,0.75,5.8,1.0,0.5,0.0,0.0,,1.0,10.8,3.0,,2.5,yellow_taxi,0.0,
2955,2,2023-01-01 00:04:15,2023-01-01 00:39:29,N,1.0,48,48,1.0,0.84,27.5,1.0,0.5,0.0,0.0,,1.0,32.5,1.0,,2.5,yellow_taxi,0.0,
4626,2,2023-01-01 00:04:18,2023-01-01 00:42:29,N,1.0,162,239,1.0,2.93,32.4,1.0,0.5,7.48,0.0,,1.0,44.88,1.0,,2.5,yellow_taxi,0.0,
1107,2,2023-01-01 00:04:19,2023-01-01 00:12:08,N,1.0,141,137,4.0,2.12,11.4,1.0,0.5,5.0,0.0,,1.0,21.4,1.0,,2.5,yellow_taxi,0.0,
4451,2,2023-01-01 00:04:20,2023-01-01 00:09:43,N,1.0,237,161,1.0,0.69,-7.2,-1.0,-0.5,0.0,0.0,,-1.0,-12.2,4.0,,-2.5,yellow_taxi,0.0,
