,VendorID,PUDatetime,DODatetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,taxi_type,ehail_fee,trip_type,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,trip_time,bcf,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,DayOfWeek,is_holiday
11254,,2023-04-01 00:00:05,2023-04-01 00:08:27,,1.595,,,61,72,,11.48,,1.02,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:57:17,,502.0,0.34,6.8,N,N,N,N,N,5,False
36226,,2023-04-01 00:00:05,2023-04-01 00:17:02,,4.844,,,169,126,,17.79,,1.58,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:55:29,,1017.0,0.53,15.89,N,N,N,N,N,5,False
36148,,2023-04-01 00:00:05,2023-04-01 00:14:20,,1.19,,,127,153,,12.53,,1.11,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:54:54,2023-03-31 23:58:05,855.0,0.38,9.6,N,N, ,N,N,5,False
27061,,2023-04-01 00:00:05,2023-04-01 00:12:03,,2.446,,,221,172,,11.61,,1.03,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:53:50,,718.0,0.35,15.44,N,N,N,N,N,5,False
11093,,2023-04-01 00:00:05,2023-04-01 00:12:04,,3.09,,,243,78,,15.45,,1.37,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:58:23,2023-04-01 00:00:01,719.0,0.46,15.11,N,N, ,N,N,5,False
1994,,2023-04-01 00:00:05,2023-04-01 00:14:53,,2.6,,,239,141,,15.33,,1.36,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:56:34,2023-03-31 23:59:26,888.0,0.46,15.78,N,N, ,N,N,5,False
29493,,2023-04-01 00:00:05,2023-04-01 00:15:10,,1.87,,,79,90,,10.89,,0.97,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:57:17,2023-03-31 23:59:33,905.0,0.33,16.38,N,N, ,N,N,5,False
25509,,2023-04-01 00:00:05,2023-04-01 00:30:05,,3.1,,,158,163,,63.49,,5.63,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:54:58,2023-03-31 23:55:05,1800.0,1.9,44.27,N,N, ,N,N,5,False
34951,,2023-04-01 00:00:05,2023-04-01 00:21:40,,4.435,,,161,166,,19.71,,1.75,0.0,0.0,,,2.75,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:56:29,,1295.0,0.59,17.96,N,N,N,N,N,5,False
23692,,2023-04-01 00:00:06,2023-04-01 00:16:37,,5.13,,,161,87,,24.51,,2.18,2.96,0.0,,,2.75,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:59:07,2023-03-31 23:59:37,991.0,0.72,21.46,N,N, ,N,N,5,False
4250,2.0,2023-04-01 00:00:06,2023-04-01 00:13:46,1.0,2.42,1.0,N,148,170,1.0,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,5,False
18038,,2023-04-01 00:00:06,2023-04-01 00:12:03,,2.19,,,17,25,,14.96,,1.33,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0003,B03404,B03404,2023-03-31 23:58:08,2023-03-31 23:59:04,717.0,0.45,14.54,N,N, ,N,N,5,False
28528,,2023-04-01 00:00:06,2023-04-01 00:15:04,,4.805,,,168,136,,19.35,,1.72,0.0,0.0,,,0.0,0.0,for-hire vehicle,,,HV0005,B03406,,2023-03-31 23:57:23,,898.0,0.58,14.73,N,N,N,N,N,5,False
1435,2.0,2023-04-01 00:00:06,2023-04-01 00:13:18,6.0,5.04,1.0,N,141,79,1.0,22.6,1.0,0.5,5.52,0.0,1.0,33.12,2.5,0.0,yellow_taxi,,,,,,,,,,,,,,,,5,False
